idCountry,country,region_idregion
1,Austria,1
2,Belgium,1
3,Croatia,1
4,"Czech Republic",1
5,Denmark,1
6,Estonia,1
7,Finland,1
8,France,1
9,Germany,1
10,Greece,1
11,Hungary,1
12,Iceland,1
13,Ireland,1
14,Latvia,1
15,Lithuania,1
16,Luxembourg,1
17,Netherlands,1
18,Norway,1
19,Romania,1
20,Russia,1
21,Serbia,1
22,Slovenia,1
23,Spain,1
24,Sweden,1
25,Switzerland,1
26,Ukraine,1
27,China,2
28,"Hong Kong",2
29,India,2
30,Indonesia,2
31,Israel,2
32,Japan,2
33,Jordan,2
34,Malaysia,2
35,Philippines,2
36,Singapore,2
37,"South Korea",2
38,"Sri Lanka",2
39,Taiwan,2
40,Argentina,3
41,Brazil,3
42,Canada,3
43,Ecuador,3
44,Mexico,3
45,USA,3
