idexchange,exchangemarket,Country_idCountry
1,ATX,1
2,"Euronext BEL-20",2
3,CROBEX,3
4,PS,4
5,"OMX Copenhagen 20",5
6,"OMX Tallinn",6
7,"OMX Helsinki 25",7
8,CAC-40,8
9,DAX,9
10,Athens,10
11,"BUX Blue Chip",11
12,OMX,12
13,"ISEQ 20",13
14,"OMX Riga",14
15,"OMX Vilnius",15
16,Lux,16
17,"AEX Amsterdam",17
18,"OMX Oslo 20",18
19,BET,19
20,RTSI,20
21,"BELEX 15",21
22,SBITOP,22
23,"IBEX 35",23
24,"OMX Stockholm 30",24
25,"Swiss Market",25
26,UX,26
27,Shanghai,27
28,"Hang Seng",28
29,"BSE Sensex",29
30,"S&P Nifty",29
31,Jakarta,30
32,"Tel Aviv 100",31
33,"Nikkei 225",32
34,Amman,33
35,"Kuala Lumpur",34
36,PSEi,35
37,"Straits Times",36
38,KOSPI,37
39,Colombo,38
40,"Taiwan Weighted",39
41,MERVAL,40
42,Bovespa,41
43,"S&P TSX",42
44,"Bolsa de Quito",43
45,"Mexbol IPC",44
46,"S&P 500",45
47,NASDAQ,45
48,"Dow Jones",45
49,"Russell 1000",45
50,"Wilshire 5000",45
